ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode
1,None of these,NA,NA,NA,NA,NA,NA,NA,NA
2,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,NA,NA,NA,NA,NA
3,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Masterƒ??s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow,NA,14
4,I am a developer by profession,"Employed, full-time",Fully remote,I donƒ??t code outside of work,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,20
5,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",NA,8
6,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",NA,NA,"Masterƒ??s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,15
7,I code primarily as a hobby,"Student, part-time",NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Stack Overflow;Video-based Online Courses,NA,3
8,I am a developer by profession,"Not employed, but looking for work",NA,NA,Some college/university study without earning a degree,Online Courses or Certification,NA,Coursera;Udemy,1
9,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donƒ??t code outside of work,"Masterƒ??s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training;Coding Bootcamp,NA,NA,6
10,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum,NA,37
11,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donƒ??t code outside of work,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses,NA,5
12,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Written Tutorials;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial",NA,12
13,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",NA,NA,12
14,I am a developer by profession,"Employed, part-time",Fully remote,Hobby,"Bachelorƒ??s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,22
